,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
146,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
147,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(26.1725046566048, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)","(0.0, 41.0, 10)",,,,,,,,,,
148,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
149,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
150,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
151,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
152,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
153,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
154,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
155,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
156,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
157,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
158,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
159,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
160,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
161,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
162,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
163,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
164,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
165,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
166,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
167,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
168,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
169,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
170,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
171,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
172,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
173,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
174,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
175,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
176,"(0.0, 50.5, 5)","(16.76305461424021, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,
177,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
178,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
179,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
180,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
181,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
182,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
183,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
184,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
185,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
186,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
187,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
188,"(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,,,
